text,text_clean,label,label_int,has_tamil_script,is_code_switched,text_length,word_count
Trailer late ah parthavanga like podunga,Trailer late ah parthavanga like podunga,0,,False,False,40,6
Move pathutu vanthu trailer pakurvnga yaru,Move pathutu vanthu trailer pakurvnga yaru,0,,False,False,42,6
Puthupetai dhanush  ah yarellam pathinga,Puthupetai dhanush ah yarellam pathinga,0,,False,False,39,5
"Dhanush oda character ,puthu sa erukay , mass ta","Dhanush oda character ,puthu sa erukay , mass ta",0,,False,False,48,9
vera level ippa pesungada mokka nu thalaivaaaaaa,vera level ippa pesungada mokka nu thalaivaaa,0,,False,False,45,7
Thala mass . U1 bgm.     Vera level,Thala mass . U1 bgm. Vera level,0,,False,False,31,7
ivara pathta death vadi madiri irukku,ivara pathta death vadi madiri irukku,1,,False,False,37,6
0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru,0 28 90's kids reference Maadila irunthu kudicha Shakthiman kaapathvaaru,0,,False,False,72,10
Aiyoo thala mass pannita thala,Aiyoo thala mass pannita thala,0,,False,False,30,5
ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,2,,False,False,56,7
When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN,When Pandey gets up Vandumurugan IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN,1,,False,False,80,12
Remake of Malayalam Mohanlal movie Devadoodhan,Remake of Malayalam Mohanlal movie Devadoodhan,1,,False,False,46,6
Tharamaana sirappaana sambavam inimeal ta paaka pora....,Tharamaana sirappaana sambavam inimeal ta paaka pora...,0,,False,False,55,7
Viswasam trailer paathutu Inka vanthavanga like panuga,Viswasam trailer paathutu Inka vanthavanga like panuga,3,,False,False,54,7
Maran  kattu kattitamnue verithanam thalivaaàa,Maran kattu kattitamnue verithanam thalivaa a,0,,False,False,45,6
Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,Ella trailer la last la oru Mass dialouge vaichikuringaaa paaa,0,,False,True,62,10
Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....,Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku...,0,,False,False,90,11
En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa,En thalaivan vijaysethubathi kaga matume na padam papan matha entha p... illa,2,,False,True,77,12
Kanithan + mugamoodi Neenga nambalainalum ithan nesam,Kanithan mugamoodi Neenga nambalainalum ithan nesam,0,,False,False,51,6
Enakku iru mugan trailer gnabagam than varuthu,Enakku iru mugan trailer gnabagam than varuthu,0,,False,False,46,7
ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,0,,False,False,61,10
Sakthimaan fans like Sivakarthikeyen fans comment,Sakthimaan fans like Sivakarthikeyen fans comment,2,,False,False,49,6
rajini and akshay fans hit like,rajini and akshay fans hit like,2,,False,False,31,6
1 hour 1 million likes,1 hour 1 million likes,0,,False,False,22,5
Raww vana padama iruku  all the best,Raww vana padama iruku all the best,0,,False,False,35,7
Thalaiva.. full Support from kerala Mohanlal Fans,Thalaiva.. full Support from kerala Mohanlal Fans,3,,False,False,49,7
En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae,En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae,1,,False,True,111,16
Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Thalaiva ungala screen pakkum pothey ippadiii erukinga na Nerla partha yappidiii erupinga Oru murai tharisanam kedaikumaaa,0,,False,True,122,16
Rajini ah vida akshay mass ah irukane,Rajini ah vida akshay mass ah irukane,1,,False,False,37,7
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,Thala koda compare panna yarukum thakuthi kidaiyathu mind it,0,,False,False,60,9
Marana mass marana style marna gethu mass trailer rajinified,Marana mass marana style marna gethu mass trailer rajinified,0,,False,False,60,9
Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay,Paruthiveeran Karthi Back Lokesh Kangaraj Screenplay,3,,False,False,52,6
